match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Preston Stearns,Alejandro Lopez Escribano,L,L,20250610,ITF Martos,Q2,,,Hard,,3,1,OwenA
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Benjamin Bonzi,Jiri Lehecka,R,R,20250609,Stuttgart,R32,,,Grass,,3,1,Ludo
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,Carlos Alcaraz,R,R,20250608,Roland Garros,F,4pm,Chatrier,Clay,Eva Asderaki-Moore,5,A,Edo
20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,Novak Djokovic,Jannik Sinner,R,R,20250606,Roland Garros,SF,,Court Philippe Chatrier,Clay,Damien Dumusois,5,A,Isaac
20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,Novak Djokovic,Alexander Zverev,R,R,20250604,Roland Garros,QF,20:35,Court Philippe Chatrier,Clay,Louise Azemar Engzell,5,A,Zindaras
20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,Novak Djokovic,Cameron Norrie,R,L,20250602,Roland Garros,R16,,,Clay,Aurelie Tourte,5,A,Isaac
20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,Jannik Sinner,Andrey Rublev,R,R,20250602,Roland Garros,R16,,Court Philippe Chatrier,Clay,,5,A,Isaac
20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,Holger Rune,Lorenzo Musetti,R,R,20250601,Roland Garros,R16,8:50 PM,Chatrier,Clay,M. Veljovic,5,A,BG
20250531-M-Roland_Garros-R32-Tallon_Griekspoor-Ethan_Quinn,Tallon Griekspoor,Ethan Quinn,R,R,20250531,Roland Garros,R32,11:10,14,Clay,Marija Cicak,5,A,Zindaras
20250531-M-Roland_Garros-R32-Novak_Djokovic-Filip_Misolic,Novak Djokovic,Filip Misolic,R,R,20250531,Roland Garros,R32,,,Clay,,5,A,Isaac
20250531-M-Roland_Garros-R32-Joao_Fonseca-Jack_Draper,Joao Fonseca,Jack Draper,R,L,20250531,Roland Garros,R32,,Suzanne Lenglen,Clay,,5,A,Ludo
20250531-M-Roland_Garros-R32-Jannik_Sinner-Jiri_Lehecka,Jannik Sinner,Jiri Lehecka,R,R,20250531,Roland Garros,R32,12:55 PM,Suzanne Lenglen Court,Clay,,5,A,Carrie
20250530-M-Roland_Garros-R32-Lorenzo_Musetti-Mariano_Navone,Lorenzo Musetti,Mariano Navone,R,R,20250530,Roland Garros,R32,11:05 AM,Suzanne-Lenglen,Clay,,5,A,BG
20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,Tallon Griekspoor,Gabriel Diallo,R,R,20250529,Roland Garros,R64,,9,Clay,,5,A,Zindaras
