match_id,player,row,pts,pts_won,rally_winners,rally_forced,unforced
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Camilo Ugo Carabelli,BPO,8,4,0,2,2
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Karue Sell,BPO,5,3,0,2,0
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Camilo Ugo Carabelli,GPF,9,2,1,0,1
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Karue Sell,GPF,16,7,2,4,5
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Camilo Ugo Carabelli,DeuceR,2,1,0,0,0
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Karue Sell,DeuceR,10,1,0,0,3
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Camilo Ugo Carabelli,RTotal,19,7,1,2,3
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Karue Sell,RTotal,31,11,2,6,8
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jaume Munar,BPO,2,0,0,0,0
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jiri Lehecka,BPO,9,4,3,0,1
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jaume Munar,GPF,11,3,1,0,0
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jiri Lehecka,GPF,9,4,0,1,2
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jaume Munar,DeuceR,7,2,1,0,0
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jiri Lehecka,DeuceR,9,5,2,0,2
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jaume Munar,RTotal,20,5,2,0,0
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jiri Lehecka,RTotal,27,13,5,1,5
