match_id,player,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,1,Total,69,2,1,32,25,37,21,5,4,63,36,28,10,16,16,6,9
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,2,Total,63,2,2,41,20,22,7,12,4,69,23,14,8,4,26,15,9
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,1,1,26,2,0,15,10,11,6,2,1,18,13,10,3,5,6,2,4
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,2,1,18,0,0,11,3,7,2,3,0,26,10,4,2,2,10,7,3
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,1,2,24,0,0,10,9,14,8,1,1,26,10,9,3,6,6,2,4
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,2,2,26,2,1,18,12,8,4,4,2,24,7,8,5,1,8,4,3
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,1,3,19,0,1,7,6,12,7,2,2,19,13,9,4,5,4,2,1
19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec,2,3,19,0,1,12,5,7,1,5,2,19,6,2,1,1,8,4,3
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,1,Total,55,0,1,32,21,23,9,9,5,49,14,11,7,4,31,9,21
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,2,Total,49,0,2,31,25,18,10,1,0,55,25,15,8,7,21,7,12
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,1,1,32,0,1,20,13,12,4,7,5,22,6,7,4,3,19,5,13
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,2,1,22,0,0,12,11,10,5,0,0,32,15,10,7,3,11,3,8
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,1,2,23,0,0,12,8,11,5,2,0,27,8,4,3,1,12,4,8
19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg,2,2,27,0,2,19,14,8,5,1,0,23,10,5,1,4,10,4,4
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,Total,180,12,3,111,75,69,44,14,10,196,65,69,28,29,102,29,70
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,Total,196,8,7,119,83,77,48,13,10,180,61,63,34,21,86,36,43
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,1,24,1,0,12,8,12,9,0,0,23,12,9,3,5,12,4,8
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,1,23,0,2,14,7,9,4,3,1,24,7,5,4,1,15,5,8
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,2,33,1,0,20,16,13,7,2,1,50,18,14,6,7,23,6,17
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,2,50,4,2,33,24,17,8,4,4,33,10,13,6,3,19,12,5
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,3,24,0,1,11,7,13,8,2,1,40,13,6,0,6,25,8,16
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,3,40,1,2,17,12,23,15,5,5,24,9,7,3,3,19,5,12
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,4,54,5,0,37,22,17,13,2,1,52,19,26,14,7,21,6,15
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,4,52,1,1,34,21,18,12,1,0,54,19,21,12,8,20,8,11
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1,5,45,5,2,31,22,14,7,8,7,31,3,14,5,4,21,5,14
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2,5,31,2,0,21,19,10,9,0,0,45,16,17,9,6,13,6,7
19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,1,Total,73,7,2,46,27,27,17,9,5,73,37,25,9,9,17,7,8
19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,2,Total,73,2,2,35,22,38,14,8,2,73,29,28,17,9,35,23,10
19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,1,1,4,1,0,4,4,0,0,0,0,6,4,2,1,0,1,0,1
19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl,2,1,6,0,1,3,2,3,0,1,0,4,0,1,1,0,5,3,1
