match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,Total,103,39,69,35,67,35,1,308
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,v1st,55,13,32,13,32,13,1,140
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,v2nd,44,22,37,22,35,22,0,164
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,7,28,13,28,13,28,13,1,109
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,89,39,22,39,22,39,22,0,163
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,9,17,11,17,11,17,11,0,86
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,fh,45,15,34,15,33,15,0,158
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,bh,43,20,35,20,34,20,1,135
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,gs,76,32,62,32,60,32,1,266
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,sl,12,3,7,3,7,3,0,27
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,D,52,16,34,16,34,16,0,164
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,A,47,19,35,19,33,19,1,140
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,4,39,10,26,10,25,10,0,115
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,5,25,12,22,12,22,12,1,89
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,6,35,13,21,13,20,13,0,100
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,4D,22,3,13,3,13,3,0,71
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,4A,17,7,13,7,12,7,0,44
20041107-M-Paris_Masters-F-Marat_Safin-Radek_Stepanek,1,5D,13,7,12,7,12,7,0,46
