match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Preston Stearns,Total,72,44,2,1,4,16,26,23,23
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Preston Stearns,1,50,30,2,1,4,13,22,11,17
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Preston Stearns,2,22,14,0,0,0,3,4,12,6
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Alejandro Lopez Escribano,Total,62,32,1,1,4,19,30,21,10
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Alejandro Lopez Escribano,1,38,24,1,1,4,15,19,10,8
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Alejandro Lopez Escribano,2,24,8,0,0,0,4,11,11,2
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Benjamin Bonzi,Total,69,42,4,20,0,26,30,3,36
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Benjamin Bonzi,1,50,34,4,17,0,22,19,3,28
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Benjamin Bonzi,2,19,8,0,3,0,4,11,0,8
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Jiri Lehecka,Total,56,43,13,10,0,30,31,4,21
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Jiri Lehecka,1,37,33,13,9,0,25,21,2,14
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Jiri Lehecka,2,19,10,0,1,0,5,10,2,7
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,Total,191,116,8,0,22,50,72,51,68
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,1,103,72,8,0,20,33,45,15,43
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,2,88,44,0,0,2,17,27,36,25
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,Total,194,117,7,0,20,54,96,58,40
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,1,113,71,7,0,16,37,76,19,18
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Carlos Alcaraz,2,81,46,0,0,4,17,20,39,22
20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,Novak Djokovic,Total,114,73,4,0,19,32,55,17,42
20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,Novak Djokovic,1,81,54,4,0,16,27,39,7,35
20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,Novak Djokovic,2,33,19,0,0,3,5,16,10,7
20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,Jannik Sinner,Total,111,79,10,0,13,40,49,40,22
20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,Jannik Sinner,1,57,45,9,0,10,28,35,3,19
20250606-M-Roland_Garros-SF-Novak_Djokovic-Jannik_Sinner,Jannik Sinner,2,54,34,1,0,3,12,14,37,3
20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,Novak Djokovic,Total,119,84,6,0,18,35,49,25,45
20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,Novak Djokovic,1,85,65,5,0,18,29,40,10,35
20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,Novak Djokovic,2,34,19,1,0,0,6,9,15,10
20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,Alexander Zverev,Total,103,66,5,0,15,33,32,37,34
20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,Alexander Zverev,1,73,55,5,0,15,28,30,15,28
20250604-M-Roland_Garros-QF-Novak_Djokovic-Alexander_Zverev,Alexander Zverev,2,30,11,0,0,0,5,2,22,6
20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,Novak Djokovic,Total,90,56,4,0,20,31,49,5,36
20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,Novak Djokovic,1,54,39,4,0,18,24,29,4,21
20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,Novak Djokovic,2,36,17,0,0,2,7,20,1,15
20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,Cameron Norrie,Total,69,30,2,0,4,11,30,14,25
20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,Cameron Norrie,1,40,18,2,0,3,6,19,3,18
20250602-M-Roland_Garros-R16-Novak_Djokovic-Cameron_Norrie,Cameron Norrie,2,29,12,0,0,1,5,11,11,7
20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,Jannik Sinner,Total,68,54,5,0,13,24,31,18,19
20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,Jannik Sinner,1,42,34,4,0,10,18,23,4,15
20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,Jannik Sinner,2,26,20,1,0,3,6,8,14,4
20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,Andrey Rublev,Total,89,49,7,0,13,28,43,17,29
20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,Andrey Rublev,1,58,40,7,0,12,25,27,6,25
20250602-M-Roland_Garros-R16-Jannik_Sinner-Andrey_Rublev,Andrey Rublev,2,31,9,0,0,1,3,16,11,4
20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,Holger Rune,Total,120,69,2,2,3,27,71,10,39
20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,Holger Rune,1,74,42,2,2,3,17,44,8,22
20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,Holger Rune,2,46,27,0,0,0,10,27,2,17
20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,Lorenzo Musetti,Total,124,78,5,1,15,36,44,22,58
20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,Lorenzo Musetti,1,79,53,5,1,15,29,35,9,35
20250601-M-Roland_Garros-R16-Holger_Rune-Lorenzo_Musetti,Lorenzo Musetti,2,45,25,0,0,0,7,9,13,23
20250531-M-Roland_Garros-R32-Tallon_Griekspoor-Ethan_Quinn,Tallon Griekspoor,Total,139,98,7,2,34,60,65,19,55
