match_id,player,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Preston Stearns,Total,14,11,12,12,12,11,9,6,5,3,0,0
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Preston Stearns,1,11,6,9,11,5,8,0,0,0,0,0,0
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Preston Stearns,2,3,5,3,1,7,3,9,6,5,3,0,0
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Alejandro Lopez Escribano,Total,8,17,9,22,4,1,18,2,8,2,0,0
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Alejandro Lopez Escribano,1,6,8,8,13,2,0,0,0,0,0,0,0
20250610-M-ITF_Martos-Q2-Preston_Stearns-Alejandro_Lopez_Escribano,Alejandro Lopez Escribano,2,2,9,1,9,2,1,18,2,8,2,0,0
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Benjamin Bonzi,Total,14,3,18,16,0,18,9,3,7,0,0,0
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Benjamin Bonzi,1,10,3,13,9,0,15,0,0,0,0,0,0
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Benjamin Bonzi,2,4,0,5,7,0,3,9,3,7,0,0,0
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Jiri Lehecka,Total,16,3,10,15,1,11,10,6,5,0,0,0
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Jiri Lehecka,1,8,1,7,13,1,7,0,0,0,0,0,0
20250609-M-Stuttgart-R32-Benjamin_Bonzi-Jiri_Lehecka,Jiri Lehecka,2,8,2,3,2,0,4,10,6,5,0,0,0
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,Total,22,27,50,50,24,18,30,22,28,8,0,0
20250608-M-Roland_Garros-F-Jannik_Sinner-Carlos_Alcaraz,Jannik Sinner,1,19,6,27,26,9,16,0,0,0,0,0,0
