match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Camilo Ugo Carabelli,Total,116,84,26,30,7
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Camilo Ugo Carabelli,F,33,38,13,29,7
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Camilo Ugo Carabelli,B,51,20,12,1,0
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Camilo Ugo Carabelli,S,32,26,1,0,0
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Karue Sell,Total,138,40,32,58,4
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Karue Sell,F,48,19,17,56,4
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Karue Sell,B,84,19,13,2,0
20241017-M-Campinas_CH-R16-Camilo_Ugo_Carabelli-Karue_Sell,Karue Sell,S,6,2,2,0,0
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jaume Munar,Total,63,29,32,20,7
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jaume Munar,F,31,9,17,16,7
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jaume Munar,B,21,17,10,2,0
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jaume Munar,S,11,3,5,2,0
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jiri Lehecka,Total,59,25,22,28,2
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jiri Lehecka,F,28,9,18,23,2
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jiri Lehecka,B,25,12,3,4,0
20241016-M-Antwerp-R32-Jaume_Munar-Jiri_Lehecka,Jiri Lehecka,S,6,4,1,1,0
20241015-M-Campinas_CH-R32-Daniel_Dutra_Da_Silva-Karue_Sell,Daniel Dutra Da Silva,Total,85,49,26,21,4
20241015-M-Campinas_CH-R32-Daniel_Dutra_Da_Silva-Karue_Sell,Daniel Dutra Da Silva,F,49,18,5,17,4
20241015-M-Campinas_CH-R32-Daniel_Dutra_Da_Silva-Karue_Sell,Daniel Dutra Da Silva,B,34,27,17,3,0
20241015-M-Campinas_CH-R32-Daniel_Dutra_Da_Silva-Karue_Sell,Daniel Dutra Da Silva,S,2,4,4,1,0
20241015-M-Campinas_CH-R32-Daniel_Dutra_Da_Silva-Karue_Sell,Karue Sell,Total,83,33,37,24,7
20241015-M-Campinas_CH-R32-Daniel_Dutra_Da_Silva-Karue_Sell,Karue Sell,F,49,14,7,14,7
20241015-M-Campinas_CH-R32-Daniel_Dutra_Da_Silva-Karue_Sell,Karue Sell,B,31,17,25,10,0
20241015-M-Campinas_CH-R32-Daniel_Dutra_Da_Silva-Karue_Sell,Karue Sell,S,3,2,5,0,0
20241014-M-Stockholm-R32-Tallon_Griekspoor-Pavel_Kotov,Tallon Griekspoor,Total,52,8,12,13,4
20241014-M-Stockholm-R32-Tallon_Griekspoor-Pavel_Kotov,Tallon Griekspoor,F,21,1,5,13,3
20241014-M-Stockholm-R32-Tallon_Griekspoor-Pavel_Kotov,Tallon Griekspoor,B,11,4,6,0,0
20241014-M-Stockholm-R32-Tallon_Griekspoor-Pavel_Kotov,Tallon Griekspoor,S,20,3,1,0,1
20241014-M-Stockholm-R32-Tallon_Griekspoor-Pavel_Kotov,Pavel Kotov,Total,41,11,17,18,2
20241014-M-Stockholm-R32-Tallon_Griekspoor-Pavel_Kotov,Pavel Kotov,F,20,2,4,16,2
20241014-M-Stockholm-R32-Tallon_Griekspoor-Pavel_Kotov,Pavel Kotov,B,20,7,11,2,0
20241014-M-Stockholm-R32-Tallon_Griekspoor-Pavel_Kotov,Pavel Kotov,S,1,2,2,0,0
20241013-M-Shanghai_Masters-F-Novak_Djokovic-Jannik_Sinner,Novak Djokovic,Total,72,20,21,31,0
20241013-M-Shanghai_Masters-F-Novak_Djokovic-Jannik_Sinner,Novak Djokovic,F,31,7,12,24,0
20241013-M-Shanghai_Masters-F-Novak_Djokovic-Jannik_Sinner,Novak Djokovic,B,33,11,9,7,0
20241013-M-Shanghai_Masters-F-Novak_Djokovic-Jannik_Sinner,Novak Djokovic,S,8,2,0,0,0
20241013-M-Shanghai_Masters-F-Novak_Djokovic-Jannik_Sinner,Jannik Sinner,Total,71,47,17,17,2
20241013-M-Shanghai_Masters-F-Novak_Djokovic-Jannik_Sinner,Jannik Sinner,F,36,15,8,13,2
20241013-M-Shanghai_Masters-F-Novak_Djokovic-Jannik_Sinner,Jannik Sinner,B,34,27,9,4,0
20241013-M-Shanghai_Masters-F-Novak_Djokovic-Jannik_Sinner,Jannik Sinner,S,1,5,0,0,0
20241012-M-Shanghai_Masters-SF-Taylor_Fritz-Novak_Djokovic,Taylor Fritz,Total,108,51,23,26,3
20241012-M-Shanghai_Masters-SF-Taylor_Fritz-Novak_Djokovic,Taylor Fritz,F,50,20,14,22,3
20241012-M-Shanghai_Masters-SF-Taylor_Fritz-Novak_Djokovic,Taylor Fritz,B,53,30,9,4,0
20241012-M-Shanghai_Masters-SF-Taylor_Fritz-Novak_Djokovic,Taylor Fritz,S,5,1,0,0,0
20241012-M-Shanghai_Masters-SF-Taylor_Fritz-Novak_Djokovic,Novak Djokovic,Total,107,52,25,28,2
20241012-M-Shanghai_Masters-SF-Taylor_Fritz-Novak_Djokovic,Novak Djokovic,F,39,18,11,16,2
20241012-M-Shanghai_Masters-SF-Taylor_Fritz-Novak_Djokovic,Novak Djokovic,B,61,32,13,12,0
20241012-M-Shanghai_Masters-SF-Taylor_Fritz-Novak_Djokovic,Novak Djokovic,S,7,2,1,0,0
20241012-M-Shanghai_Masters-SF-Jannik_Sinner-Tomas_Machac,Jannik Sinner,Total,62,55,10,15,5
20241012-M-Shanghai_Masters-SF-Jannik_Sinner-Tomas_Machac,Jannik Sinner,F,23,16,2,9,5
20241012-M-Shanghai_Masters-SF-Jannik_Sinner-Tomas_Machac,Jannik Sinner,B,37,35,8,6,0
20241012-M-Shanghai_Masters-SF-Jannik_Sinner-Tomas_Machac,Jannik Sinner,S,2,4,0,0,0
20241012-M-Shanghai_Masters-SF-Jannik_Sinner-Tomas_Machac,Tomas Machac,Total,79,35,15,23,2
20241012-M-Shanghai_Masters-SF-Jannik_Sinner-Tomas_Machac,Tomas Machac,F,30,19,7,19,2
20241012-M-Shanghai_Masters-SF-Jannik_Sinner-Tomas_Machac,Tomas Machac,B,46,15,7,4,0
20241012-M-Shanghai_Masters-SF-Jannik_Sinner-Tomas_Machac,Tomas Machac,S,3,1,1,0,0
20241011-M-Shanghai_Masters-QF-Taylor_Fritz-David_Goffin,Taylor Fritz,Total,98,29,19,19,2
20241011-M-Shanghai_Masters-QF-Taylor_Fritz-David_Goffin,Taylor Fritz,F,49,13,13,17,2
20241011-M-Shanghai_Masters-QF-Taylor_Fritz-David_Goffin,Taylor Fritz,B,48,13,5,2,0
20241011-M-Shanghai_Masters-QF-Taylor_Fritz-David_Goffin,Taylor Fritz,S,1,3,1,0,0
20241011-M-Shanghai_Masters-QF-Taylor_Fritz-David_Goffin,David Goffin,Total,77,28,27,16,2
20241011-M-Shanghai_Masters-QF-Taylor_Fritz-David_Goffin,David Goffin,F,34,9,15,15,2
20241011-M-Shanghai_Masters-QF-Taylor_Fritz-David_Goffin,David Goffin,B,36,13,11,1,0
20241011-M-Shanghai_Masters-QF-Taylor_Fritz-David_Goffin,David Goffin,S,7,6,1,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,Total,88,15,24,25,2
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,F,47,5,15,21,2
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,B,37,8,8,4,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Tomas Machac,S,4,2,1,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,Total,45,30,22,15,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,F,14,9,10,15,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,B,25,17,11,0,0
20241010-M-Shanghai_Masters-QF-Tomas_Machac-Carlos_Alcaraz,Carlos Alcaraz,S,6,4,1,0,0
20241010-M-Shanghai_Masters-QF-Jannik_Sinner-Daniil_Medvedev,Jannik Sinner,Total,103,41,25,25,4
20241010-M-Shanghai_Masters-QF-Jannik_Sinner-Daniil_Medvedev,Jannik Sinner,F,34,9,8,18,4
20241010-M-Shanghai_Masters-QF-Jannik_Sinner-Daniil_Medvedev,Jannik Sinner,B,60,26,16,7,0
20241010-M-Shanghai_Masters-QF-Jannik_Sinner-Daniil_Medvedev,Jannik Sinner,S,9,6,1,0,0
20241010-M-Shanghai_Masters-QF-Jannik_Sinner-Daniil_Medvedev,Daniil Medvedev,Total,121,33,27,21,0
20241010-M-Shanghai_Masters-QF-Jannik_Sinner-Daniil_Medvedev,Daniil Medvedev,F,34,9,11,11,0
20241010-M-Shanghai_Masters-QF-Jannik_Sinner-Daniil_Medvedev,Daniil Medvedev,B,86,22,15,10,0
20241010-M-Shanghai_Masters-QF-Jannik_Sinner-Daniil_Medvedev,Daniil Medvedev,S,1,2,1,0,0
20241009-M-Shanghai_Masters-R16-Taylor_Fritz-Holger_Rune,Taylor Fritz,Total,42,14,9,12,4
20241009-M-Shanghai_Masters-R16-Taylor_Fritz-Holger_Rune,Taylor Fritz,F,20,8,5,11,4
20241009-M-Shanghai_Masters-R16-Taylor_Fritz-Holger_Rune,Taylor Fritz,B,20,4,4,1,0
20241009-M-Shanghai_Masters-R16-Taylor_Fritz-Holger_Rune,Taylor Fritz,S,2,2,0,0,0
20241009-M-Shanghai_Masters-R16-Taylor_Fritz-Holger_Rune,Holger Rune,Total,39,14,6,14,1
20241009-M-Shanghai_Masters-R16-Taylor_Fritz-Holger_Rune,Holger Rune,F,16,3,2,12,1
20241009-M-Shanghai_Masters-R16-Taylor_Fritz-Holger_Rune,Holger Rune,B,18,9,3,2,0
20241009-M-Shanghai_Masters-R16-Taylor_Fritz-Holger_Rune,Holger Rune,S,5,2,1,0,0
20241009-M-Shanghai_Masters-R16-Novak_Djokovic-Roman_Safiullin,Novak Djokovic,Total,45,12,20,11,1
20241009-M-Shanghai_Masters-R16-Novak_Djokovic-Roman_Safiullin,Novak Djokovic,F,17,3,13,11,1
20241009-M-Shanghai_Masters-R16-Novak_Djokovic-Roman_Safiullin,Novak Djokovic,B,24,8,7,0,0
20241009-M-Shanghai_Masters-R16-Novak_Djokovic-Roman_Safiullin,Novak Djokovic,S,4,1,0,0,0
20241009-M-Shanghai_Masters-R16-Novak_Djokovic-Roman_Safiullin,Roman Safiullin,Total,48,18,6,11,1
20241009-M-Shanghai_Masters-R16-Novak_Djokovic-Roman_Safiullin,Roman Safiullin,F,20,6,3,11,1
20241009-M-Shanghai_Masters-R16-Novak_Djokovic-Roman_Safiullin,Roman Safiullin,B,27,10,3,0,0
20241009-M-Shanghai_Masters-R16-Novak_Djokovic-Roman_Safiullin,Roman Safiullin,S,1,2,0,0,0
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,Total,54,33,23,19,1
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,F,25,5,13,16,1
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,B,27,26,9,3,0
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,S,2,2,1,0,0
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,Total,68,23,14,19,4
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,F,30,8,5,17,4
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,B,36,12,9,2,0
20241009-M-Shanghai_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,S,2,3,0,0,0
20241009-M-Shanghai_Masters-R16-Ben_Shelton-Jannik_Sinner,Ben Shelton,Total,39,22,17,14,1
20241009-M-Shanghai_Masters-R16-Ben_Shelton-Jannik_Sinner,Ben Shelton,F,29,7,9,13,1
20241009-M-Shanghai_Masters-R16-Ben_Shelton-Jannik_Sinner,Ben Shelton,B,8,12,6,1,0
20241009-M-Shanghai_Masters-R16-Ben_Shelton-Jannik_Sinner,Ben Shelton,S,2,3,2,0,0
20241009-M-Shanghai_Masters-R16-Ben_Shelton-Jannik_Sinner,Jannik Sinner,Total,54,30,8,10,0
20241009-M-Shanghai_Masters-R16-Ben_Shelton-Jannik_Sinner,Jannik Sinner,F,33,11,4,7,0
20241009-M-Shanghai_Masters-R16-Ben_Shelton-Jannik_Sinner,Jannik Sinner,B,19,19,4,3,0
20241009-M-Shanghai_Masters-R16-Ben_Shelton-Jannik_Sinner,Jannik Sinner,S,2,0,0,0,0
20241008-M-Shanghai_Masters-R32-Novak_Djokovic-Flavio_Cobolli,Novak Djokovic,Total,63,16,19,24,1
20241008-M-Shanghai_Masters-R32-Novak_Djokovic-Flavio_Cobolli,Novak Djokovic,F,27,5,7,20,1
20241008-M-Shanghai_Masters-R32-Novak_Djokovic-Flavio_Cobolli,Novak Djokovic,B,29,11,11,3,0
20241008-M-Shanghai_Masters-R32-Novak_Djokovic-Flavio_Cobolli,Novak Djokovic,S,7,0,1,1,0
20241008-M-Shanghai_Masters-R32-Novak_Djokovic-Flavio_Cobolli,Flavio Cobolli,Total,42,34,15,23,5
20241008-M-Shanghai_Masters-R32-Novak_Djokovic-Flavio_Cobolli,Flavio Cobolli,F,17,10,8,20,5
20241008-M-Shanghai_Masters-R32-Novak_Djokovic-Flavio_Cobolli,Flavio Cobolli,B,23,21,6,2,0
20241008-M-Shanghai_Masters-R32-Novak_Djokovic-Flavio_Cobolli,Flavio Cobolli,S,2,3,1,1,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,Total,57,30,8,17,3
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,F,35,14,1,12,3
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,B,18,16,7,5,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Juncheng Shang,S,4,0,0,0,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,Total,51,23,20,14,3
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,F,26,10,10,14,3
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,B,22,9,6,0,0
20241005-M-Shanghai_Masters-R64-Juncheng_Shang-Carlos_Alcaraz,Carlos Alcaraz,S,3,4,4,0,0
20241004-M-Shanghai_Masters-R64-Tomas_Martin_Etcheverry-Botic_Van_De_Zandschulp,Tomas Martin Etcheverry,Total,196,124,67,111,11
20241004-M-Shanghai_Masters-R64-Tomas_Martin_Etcheverry-Botic_Van_De_Zandschulp,Tomas Martin Etcheverry,F,77,58,49,108,11
20241004-M-Shanghai_Masters-R64-Tomas_Martin_Etcheverry-Botic_Van_De_Zandschulp,Tomas Martin Etcheverry,B,100,59,15,3,0
20241004-M-Shanghai_Masters-R64-Tomas_Martin_Etcheverry-Botic_Van_De_Zandschulp,Tomas Martin Etcheverry,S,19,7,3,0,0
20241004-M-Shanghai_Masters-R64-Tomas_Martin_Etcheverry-Botic_Van_De_Zandschulp,Botic Van De Zandschulp,Total,236,153,39,77,12
20241004-M-Shanghai_Masters-R64-Tomas_Martin_Etcheverry-Botic_Van_De_Zandschulp,Botic Van De Zandschulp,F,103,58,14,74,12
20241004-M-Shanghai_Masters-R64-Tomas_Martin_Etcheverry-Botic_Van_De_Zandschulp,Botic Van De Zandschulp,B,105,81,17,2,0
20241004-M-Shanghai_Masters-R64-Tomas_Martin_Etcheverry-Botic_Van_De_Zandschulp,Botic Van De Zandschulp,S,28,14,8,1,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,Total,122,53,30,45,6
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,F,63,14,15,42,6
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,B,47,31,13,3,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Carlos Alcaraz,S,12,8,2,0,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,Total,140,59,26,36,3
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,F,58,26,15,32,3
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,B,73,30,10,2,0
20241002-M-Beijing-F-Carlos_Alcaraz-Jannik_Sinner,Jannik Sinner,S,9,3,1,2,0
20241001-M-Tokyo-F-Ugo_Humbert-Arthur_Fils,Ugo Humbert,Total,148,42,62,48,6
20241001-M-Tokyo-F-Ugo_Humbert-Arthur_Fils,Ugo Humbert,F,68,17,18,30,6
20241001-M-Tokyo-F-Ugo_Humbert-Arthur_Fils,Ugo Humbert,B,72,21,37,16,0
20241001-M-Tokyo-F-Ugo_Humbert-Arthur_Fils,Ugo Humbert,S,8,4,7,2,0
20241001-M-Tokyo-F-Ugo_Humbert-Arthur_Fils,Arthur Fils,Total,152,52,40,25,6
20241001-M-Tokyo-F-Ugo_Humbert-Arthur_Fils,Arthur Fils,F,84,19,12,18,6
20241001-M-Tokyo-F-Ugo_Humbert-Arthur_Fils,Arthur Fils,B,60,21,15,5,0
20241001-M-Tokyo-F-Ugo_Humbert-Arthur_Fils,Arthur Fils,S,8,12,13,2,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,Total,68,19,17,19,2
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,F,14,7,9,13,2
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,B,51,10,6,6,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Daniil Medvedev,S,3,2,2,0,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,Total,64,15,14,21,7
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,F,22,5,7,20,7
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,B,30,5,6,0,0
20241001-M-Beijing-SF-Daniil_Medvedev-Carlos_Alcaraz,Carlos Alcaraz,S,12,5,1,1,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,Total,79,30,34,18,1
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,F,35,8,21,17,1
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,B,38,21,11,1,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Karen Khachanov,S,6,1,2,0,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,Total,72,22,22,24,5
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,F,29,6,8,21,5
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,B,36,10,6,2,0
20240930-M-Beijing-QF-Karen_Khachanov-Carlos_Alcaraz,Carlos Alcaraz,S,7,6,8,1,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,Total,32,12,8,12,1
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,F,14,5,5,12,1
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,B,17,6,2,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Carlos Alcaraz,S,1,1,1,0,0
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,Total,37,13,2,6,1
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,F,21,2,0,6,1
20240929-M-Beijing-R16-Carlos_Alcaraz-Tallon_Griekspoor,Tallon Griekspoor,B,8,8,2,0,0
