match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20220709-W-Wimbledon_Juniors-F-Liv_Hovde-Luca_Udvardy,Liv Hovde,Luca Udvardy,R,R,W,20220709,Wimbledon Juniors,F,,1,Grass,Luke Smith,3,A,Elephant
20220709-W-Wimbledon-F-Elena_Rybakina-Ons_Jabeur,Elena Rybakina,Ons Jabeur,R,R,W,20220709,Wimbledon,F,14:10,Centre Court,Grass,Aurelie Tourte,3,A,Zindaras
20220706-W-Wimbledon-QF-Elena_Rybakina-Ajla_Tomljanovic,Elena Rybakina,Ajla Tomljanovic,R,R,W,20220706,Wimbledon,QF,,1,Grass,Jaume Campistol,3,A,Elephant
20220630-W-Wimbledon-R64-Iga_Swiatek-Lesley_Kerkhove,Iga Swiatek,Lesley Kerkhove,R,R,W,20220630,Wimbledon,R64,,1,Grass,Marijana Veljovic,3,A,Zindaras
20220630-W-Wimbledon-R64-Elena_Rybakina-Bianca_Andreescu,Elena Rybakina,Bianca Andreescu,R,R,W,20220630,Wimbledon,R64,13:35,12,Grass,Fiona Edwards,3,A,Zindaras
20220628-W-Wimbledon-R128-Iga_Swiatek-Jana_Fett,Iga Swiatek,Jana Fett,R,R,W,20220628,Wimbledon,R128,,Centre,Grass,James Keothavong,3,A,Elephant
20220628-W-Wimbledon-R128-Emina_Bektas-Bianca_Andreescu,Emina Bektas,Bianca Andreescu,R,R,W,20220628,Wimbledon,R128,19:15,14,Grass,Jamie Crowson,3,A,Zindaras
20220625-W-Eastbourne-F-Petra_Kvitova-Jelena_Ostapenko,Petra Kvitova,Jelena Ostapenko,L,R,W,20220625,Eastbourne,F,,,Grass,Kader Nouni,3,1,Elephant
20220623-W-Bad_Homburg-QF-Bianca_Andreescu-Daria_Kasatkina,Bianca Andreescu,Daria Kasatkina,R,R,W,20220623,Bad Homburg,QF,,Centre Court,Grass,Timo Janzen,3,1,Zindaras
20220622-W-Bad_Homburg-R16-Katie_Swan-Bianca_Andreescu,Katie Swan,Bianca Andreescu,R,R,W,20220622,Bad Homburg,R16,,Centre Court,Grass,Isabell Seefried,3,1,Zindaras
20220621-W-Bad_Homburg-R32-Martina_Trevisan-Bianca_Andreescu,Martina Trevisan,Bianca Andreescu,L,R,W,20220621,Bad Homburg,R32,,Centre Court,Grass,Marta Mrozinska,3,1,Zindaras
20220619-W-Eastbourne-R64-Magdalena_Frech-Qinwen_Zheng,Magdalena Frech,Qinwen Zheng,R,R,W,20220619,Eastbourne,R64,,,Grass,Cecilia Alberti,3,1,Elephant
20220618-W-Berlin-SF-Cori_Gauff-Ons_Jabeur,Cori Gauff,Ons Jabeur,R,R,W,20220618,Berlin,SF,,,Grass,Pierre Bacchi,3,1,Elephant
20220615-W-Berlin-R16-Karolina_Pliskova-Bianca_Andreescu,Karolina Pliskova,Bianca Andreescu,R,R,W,20220615,Berlin,R16,,Graf,Grass,Thomas Sweeney,3,1,Zindaras
20220613-W-Berlin-R32-Katerina_Siniakova-Bianca_Andreescu,Katerina Siniakova,Bianca Andreescu,R,R,W,20220613,Berlin,R32,,Graf,Grass,Miriam Bley,3,1,Zindaras
20220612-W-s_Hertogenbosch-F-Aryna_Sabalenka-Ekaterina_Alexandrova,Aryna Sabalenka,Ekaterina Alexandrova,R,R,W,20220612,s Hertogenbosch,F,12:10,Centre Court,Grass,Cecilia Alberti,3,1,Zindaras
20220607-W-s_Hertogenbosch-R32-Taylah_Preston-Arianne_Hartono,Taylah Preston,Arianne Hartono,R,R,W,20220607,s Hertogenbosch,R32,,,Grass,Morgane Lara,3,1,Elephant
20220607-W-Nottingham-R32-Magdalena_Frech-Yuriko_Miyazaki,Magdalena Frech,Yuriko Miyazaki,R,R,W,20220607,Nottingham,R32,,,Grass,,3,1,andy
20220606-W-s_Hertogenbosch-R32-Anna_Kalinskaya-Suzan_Lamens,Anna Kalinskaya,Suzan Lamens,R,R,W,20220606,s Hertogenbosch,R32,11:10,Centre,Grass,Morgane Lara,3,1,Zindaras
20220604-W-Roland_Garros-F-Cori_Gauff-Iga_Swiatek,Cori Gauff,Iga Swiatek,R,R,W,20220604,Roland Garros,F,,Philippe Chatrier,Clay,Damien Dumusois,3,A,Elephant
20220602-W-Roland_Garros-SF-Martina_Trevisan-Cori_Gauff,Martina Trevisan,Cori Gauff,L,R,W,20220602,Roland Garros,SF,4pm,Centre,Clay,Marijana Veljovic,3,1,Edo
20220602-W-Roland_Garros-SF-Iga_Swiatek-Daria_Kasatkina,Iga Swiatek,Daria Kasatkina,R,R,W,20220602,Roland Garros,SF,15:10,Philippe Chatrier,Clay,Pierre Bacchi,3,A,Zindaras
