match_id,player,row,pts,pts_won,rally_winners,rally_forced,unforced
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,BPO,10,5,0,2,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,BPO,5,3,0,0,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,GPF,12,8,1,4,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,GPF,13,6,1,1,3
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,DeuceR,14,6,1,1,1
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,DeuceR,12,3,2,1,3
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,RTotal,36,19,2,7,1
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,RTotal,30,12,3,2,6
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,BPO,3,2,1,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,BPO,10,6,2,4,2
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,GPF,8,2,2,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,GPF,7,5,0,2,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,DeuceR,6,1,0,0,3
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,DeuceR,7,2,0,1,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,RTotal,17,5,3,0,3
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,RTotal,24,13,2,7,2
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,BPO,11,6,1,2,2
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,BPO,3,2,1,1,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,GPF,5,3,0,2,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,GPF,9,3,2,1,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,DeuceR,6,3,1,1,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,DeuceR,3,1,0,1,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,RTotal,22,12,2,5,2
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,RTotal,15,6,3,3,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,BPO,13,5,1,0,3
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,BPO,5,0,0,0,3
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,GPF,5,3,0,2,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,GPF,13,6,2,3,2
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,DeuceR,7,2,1,0,1
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,DeuceR,15,5,0,2,2
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,RTotal,25,10,2,2,4
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,RTotal,33,11,2,5,7
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,BPO,11,5,1,1,3
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,BPO,9,3,1,0,0
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,GPF,18,12,3,4,2
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,GPF,14,7,1,0,2
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,DeuceR,16,4,0,0,3
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,DeuceR,16,9,3,2,2
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,RTotal,45,21,4,5,8
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,RTotal,39,19,5,2,4
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,BPO,7,7,0,1,0
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,BPO,3,2,0,1,0
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,GPF,4,4,0,1,0
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,GPF,5,0,0,0,1
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,DeuceR,4,3,0,1,1
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,DeuceR,4,3,0,1,0
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,RTotal,15,14,0,3,1
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,RTotal,12,5,0,2,1
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,BPO,8,4,0,1,2
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,BPO,4,1,0,0,2
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,GPF,7,2,2,0,1
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,GPF,18,9,5,0,3
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,DeuceR,10,8,4,3,1
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,DeuceR,12,4,0,1,5
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,RTotal,25,14,6,4,4
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,RTotal,34,14,5,1,10
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,BPO,6,4,2,0,0
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Qinwen Zheng,BPO,2,2,1,1,0
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,GPF,14,7,2,3,0
