match_id,player,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,BP,5,2,4,0,1,0,1,2,1
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,BP,10,5,9,1,2,1,1,2,1
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,GP,13,7,8,0,2,1,1,3,1
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,GP,12,4,6,0,2,1,1,3,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,Deuce,12,9,7,1,2,1,2,0,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,Deuce,14,8,10,0,1,4,2,2,2
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,STotal,30,18,19,1,5,2,4,5,2
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,STotal,36,17,25,1,5,6,4,7,3
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,BP,10,4,6,1,1,0,0,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,BP,3,1,2,0,1,0,0,0,1
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,GP,7,2,4,0,0,1,1,2,1
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,GP,8,6,4,0,3,2,1,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,Deuce,7,5,6,0,2,1,2,1,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,Deuce,6,5,4,0,0,1,1,1,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,STotal,24,11,16,1,3,2,3,3,1
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,STotal,17,12,10,0,4,3,2,1,1
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,BP,3,1,2,0,1,0,0,0,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,BP,11,5,8,0,1,1,1,3,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,GP,9,6,6,2,0,1,3,0,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,GP,5,2,4,0,1,0,1,1,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,Deuce,3,2,2,1,1,0,0,0,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,Deuce,6,3,2,0,2,0,1,1,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,STotal,15,9,10,3,2,1,3,0,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,STotal,22,10,14,0,4,1,3,5,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,BP,5,5,3,0,0,1,1,0,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,BP,13,8,7,0,4,0,1,1,3
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,GP,13,7,8,0,2,2,1,1,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,GP,5,2,4,0,2,0,0,1,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,Deuce,15,10,11,0,2,2,4,2,1
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,Deuce,7,5,4,0,1,3,0,0,1
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,STotal,33,22,22,0,4,5,6,3,1
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,STotal,25,15,15,0,7,3,1,2,4
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,BP,9,6,5,0,3,2,1,2,0
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,BP,11,6,6,0,1,2,0,2,1
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,GP,14,7,10,0,2,2,1,5,1
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,GP,18,6,11,0,1,3,0,5,0
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,Deuce,16,7,14,2,2,0,1,4,0
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,Deuce,16,12,9,1,2,4,2,1,3
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,STotal,39,20,29,2,7,4,3,11,1
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,STotal,45,24,26,1,4,9,2,8,4
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,BP,3,1,1,0,0,0,1,0,1
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,BP,7,0,3,0,0,0,0,5,1
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,GP,5,5,5,1,1,1,1,0,0
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,GP,4,0,3,0,0,0,0,3,0
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,Deuce,4,1,3,0,0,1,0,2,0
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,Deuce,4,1,4,0,0,0,0,2,0
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,STotal,12,7,9,1,1,2,2,2,1
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Luciana Perry,STotal,15,1,10,0,0,0,0,10,1
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,BP,4,3,0,0,0,1,0,1,0
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,BP,8,4,5,0,1,0,1,3,0
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,GP,18,9,12,1,3,1,1,3,1
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,GP,7,5,6,0,4,0,0,0,0
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,Deuce,12,8,7,0,1,0,2,3,0
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,Deuce,10,2,2,0,0,1,0,1,0
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Iga Swiatek,STotal,34,20,19,1,4,2,3,7,1
20250603-W-Roland_Garros-QF-Iga_Swiatek-Elina_Svitolina,Elina Svitolina,STotal,25,11,13,0,5,1,1,4,0
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,BP,2,0,2,0,0,0,0,0,0
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Qinwen Zheng,BP,6,2,1,0,0,2,0,2,0
20250603-W-Roland_Garros-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,GP,9,8,4,1,3,2,1,1,0
