match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,Total,69,40,5,0,13,21,34,18,17
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,1,47,32,5,0,12,19,26,10,11
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,2,22,8,0,0,1,2,8,8,6
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,Total,69,33,2,0,13,19,33,24,12
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,1,49,28,2,0,11,17,22,17,10
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,2,20,5,0,0,2,2,11,7,2
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,Total,54,21,1,0,6,13,21,17,16
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,1,33,18,1,0,6,13,14,8,11
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,2,21,3,0,0,0,0,7,9,5
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,Total,47,28,1,0,8,13,18,20,9
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,1,30,18,1,0,7,10,13,9,8
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,2,17,10,0,0,1,3,5,11,1
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,Total,44,28,4,0,7,13,20,9,15
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,1,30,21,4,0,5,11,15,3,12
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,2,14,7,0,0,2,2,5,6,3
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,Total,50,21,1,0,5,6,15,20,14
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,1,33,13,1,0,4,5,11,11,10
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,2,17,8,0,0,1,1,4,9,4
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,Total,60,38,2,0,6,16,22,17,21
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,1,39,26,2,0,5,13,17,5,17
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,2,21,12,0,0,1,3,5,12,4
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,Total,50,21,0,0,10,13,29,11,10
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,1,30,15,0,0,8,9,16,8,6
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,2,20,6,0,0,2,4,13,3,4
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,Total,85,49,3,2,11,26,36,14,35
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,1,58,36,3,2,11,23,30,4,24
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,2,27,13,0,0,0,3,6,10,11
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,Total,94,46,1,0,5,14,36,28,30
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,1,57,34,1,0,5,10,29,13,15
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Mirra Andreeva,2,37,12,0,0,0,4,7,15,15
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,Total,37,25,1,0,7,12,20,14,3
20250604-W-ITF_Sumter-R16-Cadence_Brace-Luciana_Perry,Cadence Brace,1,20,16,1,0,3,6,14,6,0
