match_id,player,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,Total,16,10,9,18,8,8,5,6,8,5,0,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,1,15,3,5,11,7,6,0,0,0,0,0,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,2,1,7,4,7,1,2,5,6,8,5,0,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,Total,19,12,4,14,12,8,13,0,10,1,0,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,1,11,9,3,11,8,7,0,0,0,0,0,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,2,8,3,1,3,4,1,13,0,10,1,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,Total,13,12,3,8,5,13,12,3,12,1,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,1,9,6,1,5,2,10,0,0,0,0,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,2,4,6,2,3,3,3,12,3,12,1,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,Total,12,11,2,6,9,7,9,2,7,0,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,1,9,5,2,4,4,6,0,0,0,0,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,2,3,6,0,2,5,1,9,2,7,0,0,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,Total,12,7,4,8,2,11,8,1,4,2,0,0
