match_id,player,row,pts,won_1+,won_2+,won_3+,won_4+,won_5+,won_6+,won_7+,won_8+,won_9+,won_10+
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,1,47,68.1%,50.0%,57.7%,42.1%,61.5%,37.5%,60.0%,50.0%,66.7%,50.0%
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,2,20,40.0%,36.8%,43.8%,35.7%,41.7%,30.0%,42.9%,33.3%,100.0%,100.0%
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,1,49,57.1%,41.7%,51.7%,30.0%,54.5%,37.5%,75.0%,66.7%,66.7%,50.0%
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,2,16,31.3%,21.4%,37.5%,28.6%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,1,33,54.5%,42.3%,55.0%,30.8%,50.0%,33.3%,66.7%,0.0%,-,-
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,2,14,21.4%,21.4%,60.0%,33.3%,100.0%,100.0%,100.0%,-,-,-
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,1,30,60.0%,45.5%,47.6%,31.3%,38.5%,27.3%,60.0%,50.0%,100.0%,100.0%
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,2,16,62.5%,57.1%,72.7%,66.7%,85.7%,80.0%,100.0%,-,-,-
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,1,30,70.0%,57.1%,60.0%,38.5%,55.6%,50.0%,66.7%,60.0%,60.0%,50.0%
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,2,13,53.8%,45.5%,62.5%,50.0%,75.0%,75.0%,100.0%,100.0%,100.0%,-
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,1,33,39.4%,28.6%,32.0%,22.7%,31.3%,21.4%,27.3%,0.0%,0.0%,0.0%
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,2,17,47.1%,43.8%,46.7%,38.5%,45.5%,45.5%,55.6%,55.6%,62.5%,50.0%
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,1,39,66.7%,59.4%,67.9%,47.1%,57.1%,45.5%,55.6%,42.9%,75.0%,50.0%
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,2,20,60.0%,52.9%,64.3%,44.4%,44.4%,37.5%,37.5%,16.7%,25.0%,25.0%
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,1,30,50.0%,31.8%,36.8%,14.3%,20.0%,11.1%,25.0%,25.0%,50.0%,50.0%
