match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,Total,71,53,16,10,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,F,32,21,7,9,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,B,38,31,9,1,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Yue Yuan,S,1,1,0,0,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,Total,68,43,21,19,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,F,30,16,13,15,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,B,37,25,7,4,0
20250612-W-s_Hertogenbosch-R16-Yue_Yuan-Kimberly_Birrell,Kimberly Birrell,S,1,2,1,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,Total,35,19,15,13,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,F,18,10,12,4,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,B,15,7,3,9,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Katerina Siniakova,S,2,2,0,0,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,Total,37,25,12,12,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,F,21,10,5,4,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,B,15,10,5,7,0
20250609-W-s_Hertogenbosch-R32-Katerina_Siniakova-Anna_Blinkova,Anna Blinkova,S,1,5,2,1,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,Total,93,32,12,20,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,F,46,17,8,6,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,B,43,11,3,13,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Elise Mertens,S,4,4,1,1,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,Total,58,43,30,23,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,F,30,17,10,9,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,B,23,21,19,13,0
20250609-W-s_Hertogenbosch-R32-Elise_Mertens-Viktoriya_Tomova,Viktoriya Tomova,S,5,5,1,1,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,Total,70,39,16,28,2
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,F,44,25,9,28,2
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,B,17,10,7,0,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Lilli Tagger,S,9,4,0,0,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,Total,37,46,11,32,6
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,F,24,21,7,29,6
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,B,12,17,4,2,0
20250607-W-Roland_Garros_Juniors-F-Lilli_Tagger-Hannah_Klugman,Hannah Klugman,S,1,8,0,1,0
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,Total,80,78,21,41,18
20250604-W-Roland_Garros-QF-Lois_Boisson-Mirra_Andreeva,Lois Boisson,F,48,29,10,37,18
