match_id,player,row,first_pts,first_pts_won,first_aces,first_unret,first_forced,first_won_lte_3_shots,second_pts,second_pts_won,second_aces,second_unret,second_forced,second_won_lte_3_shots
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,d,27,13,1,1,2,9,17,8,0,0,0,5
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,a,19,11,0,0,0,4,19,11,0,0,0,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,4,11,6,0,0,0,6,7,3,0,0,0,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,5,17,9,0,0,1,3,21,13,0,0,0,6
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,6,18,9,1,1,1,4,8,3,0,0,0,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,4d,9,4,0,0,0,4,3,1,0,0,0,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,4a,2,2,0,0,0,2,4,2,0,0,0,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,5d,8,4,0,0,1,1,9,4,0,0,0,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,5a,9,5,0,0,0,2,12,9,0,0,0,3
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,6d,10,5,1,1,1,4,5,3,0,0,0,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,1,6a,8,4,0,0,0,0,3,0,0,0,0,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,d,29,19,2,2,2,10,10,4,0,0,0,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,a,21,14,0,1,0,3,16,2,0,0,0,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,4,13,11,1,1,2,5,5,0,0,0,0,0
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,5,16,9,0,0,0,4,19,6,0,0,0,1
20070901-W-US_Open-R32-Agnieszka_Radwanska-Maria_Sharapova,2,6,21,13,1,2,0,4,2,0,0,0,0,0
